Forum.id|Person.id|joinDate
17179869197|9895604649984|2011-09-15T05:28:33.616+0000
17179869197|8796093022217|2011-07-26T04:00:02.456+0000
17179869197|15393162788888|2012-07-11T04:36:42.044+0000
17179869197|9895604650020|2011-10-18T05:30:38.405+0000
17179869197|16492674416689|2012-09-11T04:07:25.731+0000
17179869197|2199023255611|2010-08-13T08:04:06.941+0000
17179869197|7696581394520|2011-06-06T22:37:22.585+0000
17179869197|10995116277851|2011-12-15T14:26:09.775+0000
17179869197|94|2010-08-01T07:36:09.871+0000
17179869200|10995116277764|2011-11-14T20:10:29.153+0000
17179869200|13194139533352|2012-02-25T20:20:43.673+0000
17179869200|7696581394474|2011-05-26T12:02:44.855+0000
17179869200|10995116277826|2011-10-25T19:23:47.053+0000
17179869200|2199023255625|2010-08-13T08:04:06.941+0000
17179869200|2199023255633|2010-08-09T01:39:54.127+0000
17179869200|9895604650074|2011-10-05T10:55:16.833+0000
17179869200|10995116277851|2012-01-02T03:28:38.185+0000
17179869200|10995116277857|2011-11-26T13:55:09.429+0000
85899345937|10995116277764|2012-06-30T03:25:12.135+0000
85899345937|13194139533352|2012-03-02T13:58:46.699+0000
85899345937|7696581394474|2011-12-06T19:13:40.560+0000
85899345937|10995116277826|2012-02-19T12:04:29.213+0000
85899345937|10995116277851|2012-07-10T04:59:17.823+0000
85899345937|10995116277857|2012-04-14T00:40:19.540+0000
68719476754|10995116277764|2012-09-06T22:17:36.283+0000
68719476754|13194139533352|2012-08-04T23:16:34.199+0000
68719476754|7696581394474|2011-11-19T01:16:07.042+0000
68719476754|2199023255625|2012-06-01T17:26:40.199+0000
68719476754|2199023255633|2011-10-08T05:28:53.191+0000
68719476754|9895604650074|2012-01-02T00:20:42.790+0000
68719476754|10995116277851|2012-06-21T05:28:55.810+0000
60129542163|10995116277764|2012-02-04T09:43:50.640+0000
60129542163|13194139533352|2012-07-03T09:25:18.050+0000
60129542163|10995116277826|2012-01-24T23:50:18.454+0000
60129542163|2199023255625|2012-01-04T19:31:27.118+0000
60129542163|9895604650074|2012-06-26T14:01:22.950+0000
