Person.id|Tag.id
12094627905604|281
12094627905604|1401
12094627905604|2042
12094627905604|2778
12094627905604|5115
12094627905604|7564
12094627905604|9272
2199023255625|6
2199023255625|418
2199023255625|976
2199023255625|1170
2199023255625|1199
2199023255625|1454
2199023255625|1989
2199023255625|2797
2199023255625|2999
2199023255625|6437
2199023255625|7015
2199023255625|9058
2199023255625|9163
2199023255625|11742
2199023255625|12002
2199023255600|243
2199023255600|1548
2199023255600|2928
2199023255600|2951
2199023255600|3020
2199023255600|6938
16492674416673|139
16492674416673|142
16492674416673|290
16492674416673|468
16492674416673|469
16492674416673|573
16492674416673|973
16492674416673|1025
16492674416673|1192
16492674416673|1205
16492674416673|1403
16492674416673|1450
16492674416673|1684
16492674416673|1754
16492674416673|1758
16492674416673|1759
16492674416673|1908
16492674416673|2001
16492674416673|2003
16492674416673|2021
16492674416673|2028
16492674416673|2071
16492674416673|2076
16492674416673|2084
16492674416673|2792
16492674416673|2817
16492674416673|2821
16492674416673|2830
16492674416673|2848
16492674416673|2856
16492674416673|2879
16492674416673|2910
16492674416673|2941
16492674416673|2959
16492674416673|2990
16492674416673|3089
16492674416673|3090
16492674416673|3091
16492674416673|3096
16492674416673|5078
16492674416673|5133
16492674416673|5176
16492674416673|5191
16492674416673|5196
16492674416673|5546
16492674416673|6354
16492674416673|6368
16492674416673|6456
16492674416673|6945
16492674416673|6954
16492674416673|7545
16492674416673|7897
16492674416673|9170
16492674416673|9227
16492674416673|9299
16492674416673|10414
16492674416673|10449
16492674416673|11875
16492674416673|13400
16492674416673|14846
2199023255611|138
2199023255611|448
2199023255611|545
2199023255611|565
2199023255611|567
2199023255611|568
2199023255611|575
2199023255611|776
2199023255611|777
2199023255611|791
2199023255611|796
2199023255611|1153
2199023255611|1170
2199023255611|1171
2199023255611|1176
2199023255611|1183
2199023255611|1207
2199023255611|1403
2199023255611|1444
2199023255611|1452
2199023255611|1504
2199023255611|1667
2199023255611|1669
2199023255611|1680
2199023255611|1771
2199023255611|1985
2199023255611|1986
2199023255611|1987
2199023255611|1993
2199023255611|2000
2199023255611|2028
2199023255611|2040
2199023255611|2044
2199023255611|2050
2199023255611|2073
2199023255611|2075
2199023255611|2077
2199023255611|2782
2199023255611|2788
2199023255611|2811
2199023255611|2824
2199023255611|2831
2199023255611|2832
2199023255611|2839
2199023255611|2847
2199023255611|2848
2199023255611|2872
2199023255611|2905
2199023255611|2959
2199023255611|2965
2199023255611|3047
2199023255611|5078
2199023255611|5191
2199023255611|6368
2199023255611|6385
2199023255611|6456
2199023255611|6978
2199023255611|6987
2199023255611|6993
2199023255611|7519
2199023255611|7520
2199023255611|7572
2199023255611|8769
2199023255611|9095
2199023255611|9150
2199023255611|9163
2199023255611|9170
2199023255611|9188
2199023255611|10028
